airport_code,date,hour,temperature,precipitation,wind_speed,weather_code
ATL,2026-01-03,18,12.6,0.0,9.0,3
ATL,2026-01-03,19,12.7,0.1,8.3,51
ATL,2026-01-03,20,13.0,0.0,8.5,3
ATL,2026-01-03,21,12.8,0.0,9.4,3
ATL,2026-01-03,22,12.6,0.0,8.4,3
ATL,2026-01-03,23,12.1,0.0,4.2,3
ATL,2026-01-04,0,10.7,0.0,1.1,0
ATL,2026-01-04,1,10.3,0.0,0.6,1
ATL,2026-01-04,2,10.0,0.0,6.7,0
ATL,2026-01-04,3,9.1,0.0,4.4,0
ATL,2026-01-04,4,8.7,0.0,4.8,0
ATL,2026-01-04,5,7.7,0.0,2.8,0
ATL,2026-01-04,6,6.9,0.0,0.8,3
ATL,2026-01-04,7,6.7,0.0,2.9,3
ATL,2026-01-04,8,6.6,0.0,3.8,3
ATL,2026-01-04,9,6.2,0.0,4.5,3
ATL,2026-01-04,10,6.2,0.0,5.5,3
ATL,2026-01-04,11,6.2,0.0,8.2,3
ATL,2026-01-04,12,6.1,0.0,8.4,3
ATL,2026-01-04,13,6.3,0.0,7.4,3
ATL,2026-01-04,14,6.9,0.0,8.3,3
ATL,2026-01-04,15,7.8,0.0,7.3,3
ATL,2026-01-04,16,10.0,0.0,3.7,1
ATL,2026-01-04,17,12.6,0.0,4.0,0
ATL,2026-01-04,18,14.1,0.0,4.7,0
ATL,2026-01-04,19,15.3,0.0,2.9,0
ATL,2026-01-04,20,15.9,0.0,3.1,1
ATL,2026-01-04,21,15.9,0.0,3.9,3
ATL,2026-01-04,22,15.0,0.0,1.5,3
ATL,2026-01-04,23,12.9,0.0,1.0,3
ATL,2026-01-05,0,11.8,0.0,0.7,3
ATL,2026-01-05,1,10.8,0.0,3.8,3
ATL,2026-01-05,2,10.4,0.0,5.8,3
ATL,2026-01-05,3,9.5,0.0,4.0,3
ATL,2026-01-05,4,9.1,0.0,4.7,3
ATL,2026-01-05,5,8.6,0.0,7.2,3
ATL,2026-01-05,6,7.9,0.0,7.0,3
ATL,2026-01-05,7,7.5,0.0,5.9,3
ATL,2026-01-05,8,7.4,0.0,5.3,3
ATL,2026-01-05,9,6.9,0.0,4.9,0
ATL,2026-01-05,10,6.2,0.0,6.6,3
ATL,2026-01-05,11,5.9,0.0,7.3,3
ATL,2026-01-05,12,5.7,0.0,6.6,0
ATL,2026-01-05,13,5.6,0.0,8.9,2
ATL,2026-01-05,14,6.9,0.0,7.4,3
ATL,2026-01-05,15,9.5,0.0,8.4,0
ATL,2026-01-05,16,12.5,0.0,5.7,0
ATL,2026-01-05,17,14.7,0.0,5.0,0
ATL,2026-01-05,18,15.9,0.0,7.8,2
ATL,2026-01-05,19,17.3,0.0,9.8,1
ATL,2026-01-05,20,17.9,0.0,11.3,2
ATL,2026-01-05,21,17.4,0.0,10.9,0
ATL,2026-01-05,22,16.2,0.0,9.0,0
ATL,2026-01-05,23,13.9,0.0,10.2,1
ATL,2026-01-06,0,11.9,0.0,10.3,1
ATL,2026-01-06,1,11.1,0.0,10.2,3
ATL,2026-01-06,2,11.0,0.0,10.9,2
ATL,2026-01-06,3,10.1,0.0,9.7,3
ATL,2026-01-06,4,9.4,0.0,7.9,3
ATL,2026-01-06,5,8.8,0.0,7.4,3
ATL,2026-01-06,6,8.6,0.0,7.1,2
ATL,2026-01-06,7,8.3,0.0,8.0,3
ATL,2026-01-06,8,8.6,0.0,8.7,3
ATL,2026-01-06,9,8.6,0.0,8.5,3
ATL,2026-01-06,10,8.7,0.0,8.2,3
ATL,2026-01-06,11,8.9,0.0,8.9,3
ATL,2026-01-06,12,9.2,0.0,10.0,3
ATL,2026-01-06,13,9.7,0.0,10.0,3
ATL,2026-01-06,14,10.6,0.0,10.7,3
ATL,2026-01-06,15,11.6,0.0,11.2,3
ATL,2026-01-06,16,12.5,0.0,12.1,3
ATL,2026-01-06,17,14.1,0.0,14.7,3
ATL,2026-01-06,18,15.5,0.0,18.1,3
ATL,2026-01-06,19,15.3,0.0,15.7,3
ATL,2026-01-06,20,15.1,0.1,14.3,51
ATL,2026-01-06,21,15.6,0.0,9.4,3
ATL,2026-01-06,22,16.0,0.1,13.6,51
ATL,2026-01-06,23,15.6,0.1,13.7,51
ATL,2026-01-07,0,15.4,0.0,13.9,3
ATL,2026-01-07,1,15.7,0.0,12.4,3
ATL,2026-01-07,2,15.5,0.0,11.5,3
ATL,2026-01-07,3,15.6,0.0,9.9,1
ATL,2026-01-07,4,14.5,0.0,9.4,3
ATL,2026-01-07,5,14.7,0.0,9.3,3
ATL,2026-01-07,6,13.9,0.1,8.2,51
ATL,2026-01-07,7,13.6,0.1,9.4,51
ATL,2026-01-07,8,14.0,0.1,9.6,51
ATL,2026-01-07,9,14.0,0.0,9.4,3
ATL,2026-01-07,10,13.9,0.1,8.5,51
ATL,2026-01-07,11,13.8,0.0,6.7,3
ATL,2026-01-07,12,13.9,0.1,4.7,51
ATL,2026-01-07,13,13.0,0.0,3.5,0
ATL,2026-01-07,14,14.1,0.0,6.8,1
ATL,2026-01-07,15,16.3,0.0,5.3,3
ATL,2026-01-07,16,18.2,0.0,7.6,0
ATL,2026-01-07,17,19.4,0.0,8.9,0
ATL,2026-01-07,18,19.8,0.0,9.4,3
ATL,2026-01-07,19,20.6,0.0,8.8,3
ATL,2026-01-07,20,21.1,0.0,7.6,3
ATL,2026-01-07,21,21.5,0.0,6.4,3
ATL,2026-01-07,22,20.3,0.0,4.6,1
ATL,2026-01-07,23,18.0,0.0,6.4,1
ATL,2026-01-08,0,16.2,0.0,0.9,3
ATL,2026-01-08,1,15.3,0.0,0.8,3
ATL,2026-01-08,2,14.0,0.0,2.9,3
ATL,2026-01-08,3,13.1,0.0,4.7,3
ATL,2026-01-08,4,13.0,0.0,5.9,3
ATL,2026-01-08,5,12.6,0.0,5.6,3
ATL,2026-01-08,6,11.5,0.0,5.4,3
ATL,2026-01-08,7,10.9,0.0,4.0,3
ATL,2026-01-08,8,10.8,0.0,6.4,3
ATL,2026-01-08,9,10.6,0.0,7.5,3
ATL,2026-01-08,10,10.4,0.0,8.7,3
ATL,2026-01-08,11,10.3,0.0,8.3,3
ATL,2026-01-08,12,10.3,0.0,9.5,3
ATL,2026-01-08,13,10.3,0.0,9.8,3
ATL,2026-01-08,14,11.8,0.0,10.7,3
ATL,2026-01-08,15,14.2,0.0,8.4,3
ATL,2026-01-08,16,16.2,0.0,8.5,3
ATL,2026-01-08,17,18.2,0.0,10.1,3
ATL,2026-01-08,18,20.1,0.0,12.3,3
ATL,2026-01-08,19,20.9,0.0,14.2,3
ATL,2026-01-08,20,20.7,0.0,13.4,3
ATL,2026-01-08,21,20.9,0.0,12.5,3
ATL,2026-01-08,22,19.7,0.0,10.6,3
ATL,2026-01-08,23,18.2,0.0,12.5,3
ATL,2026-01-09,0,16.8,0.0,10.5,3
ATL,2026-01-09,1,16.5,0.0,13.0,3
ATL,2026-01-09,2,16.2,0.0,14.4,3
ATL,2026-01-09,3,15.5,0.0,10.9,3
ATL,2026-01-09,4,16.0,0.0,11.5,3
ATL,2026-01-09,5,16.2,0.1,12.3,51
ATL,2026-01-09,6,15.8,0.0,12.7,1
ATL,2026-01-09,7,15.6,0.1,13.5,51
ATL,2026-01-09,8,15.5,0.0,12.6,3
ATL,2026-01-09,9,15.4,0.0,14.6,3
ATL,2026-01-09,10,15.2,0.0,15.5,3
ATL,2026-01-09,11,14.7,0.0,13.6,3
ATL,2026-01-09,12,15.0,0.0,15.4,3
ATL,2026-01-09,13,15.1,0.0,14.4,3
ATL,2026-01-09,14,15.9,0.0,14.3,3
ATL,2026-01-09,15,16.7,0.0,16.4,3
ATL,2026-01-09,16,17.3,0.0,15.7,3
ATL,2026-01-09,17,19.2,0.0,20.4,3
ATL,2026-01-09,18,20.7,0.0,17.8,3
ATL,2026-01-09,19,21.3,0.0,14.3,3
ATL,2026-01-09,20,21.3,0.0,10.0,3
ATL,2026-01-09,21,20.9,0.2,5.2,51
ATL,2026-01-09,22,18.4,1.9,7.2,61
ATL,2026-01-09,23,17.8,3.1,3.1,63
ATL,2026-01-10,0,17.3,2.7,11.8,63
ATL,2026-01-10,1,17.2,1.1,8.2,55
ATL,2026-01-10,2,16.9,0.5,10.6,53
ATL,2026-01-10,3,16.5,3.0,11.5,63
ATL,2026-01-10,4,16.7,3.3,7.9,63
ATL,2026-01-10,5,16.3,0.2,10.0,51
ATL,2026-01-10,6,17.0,6.4,12.3,63
ATL,2026-01-10,7,17.0,0.2,14.0,51
ATL,2026-01-10,8,17.5,1.4,15.4,61
ATL,2026-01-10,9,18.6,0.0,20.2,3
ATL,2026-01-10,10,18.4,0.0,22.0,3
ATL,2026-01-10,11,18.2,0.0,20.1,3
ATL,2026-01-10,12,19.1,0.0,21.3,3
ATL,2026-01-10,13,19.2,0.1,21.4,51
ATL,2026-01-10,14,19.7,0.2,22.5,51
ATL,2026-01-10,15,20.1,0.5,27.8,53
ATL,2026-01-10,16,20.0,0.7,24.0,53
ATL,2026-01-10,17,20.4,2.7,23.2,63
ATL,2026-01-10,18,18.9,0.6,24.6,53
ATL,2026-01-10,19,18.9,0.2,22.1,51
ATL,2026-01-10,20,19.5,0.1,21.7,51
ATL,2026-01-10,21,18.6,0.4,18.4,51
ATL,2026-01-10,22,18.3,0.1,17.1,51
ATL,2026-01-10,23,17.5,0.1,14.9,51
ATL,2026-01-11,0,17.1,0.0,14.3,3
ATL,2026-01-11,1,17.1,0.0,13.6,3
ATL,2026-01-11,2,16.8,0.1,15.0,51
ATL,2026-01-11,3,15.4,0.2,18.0,51
ATL,2026-01-11,4,14.0,0.0,16.7,3
ATL,2026-01-11,5,12.6,0.0,18.1,3
ATL,2026-01-11,6,11.7,0.0,18.0,2
ATL,2026-01-11,7,10.9,0.0,19.1,3
ATL,2026-01-11,8,10.2,0.0,20.6,3
ATL,2026-01-11,9,9.2,0.0,22.6,3
ATL,2026-01-11,10,8.0,0.0,22.1,2
ATL,2026-01-11,11,6.9,0.0,16.7,0
ATL,2026-01-11,12,5.5,0.0,17.0,1
ATL,2026-01-11,13,4.8,0.0,15.8,2
ATL,2026-01-11,14,5.5,0.0,15.6,0
ATL,2026-01-11,15,7.0,0.0,18.0,1
ATL,2026-01-11,16,8.2,0.0,22.3,0
ATL,2026-01-11,17,8.7,0.0,28.5,0
ATL,2026-01-11,18,9.2,0.0,24.6,1
ATL,2026-01-11,19,9.0,0.0,24.1,0
ATL,2026-01-11,20,8.2,0.0,22.7,0
ATL,2026-01-11,21,7.3,0.0,23.7,0
ATL,2026-01-11,22,5.9,0.0,22.5,0
ATL,2026-01-11,23,4.2,0.0,20.1,0
ATL,2026-01-12,0,3.5,0.0,19.6,0
ATL,2026-01-12,1,2.5,0.0,19.6,0
ATL,2026-01-12,2,1.8,0.0,17.3,0
ATL,2026-01-12,3,1.3,0.0,13.8,0
ATL,2026-01-12,4,0.8,0.0,13.1,0
ATL,2026-01-12,5,0.3,0.0,12.8,0
ATL,2026-01-12,6,-0.7,0.0,12.5,2
ATL,2026-01-12,7,-1.1,0.0,11.8,0
ATL,2026-01-12,8,-1.5,0.0,10.8,0
ATL,2026-01-12,9,-1.9,0.0,10.0,0
ATL,2026-01-12,10,-2.2,0.0,9.1,0
ATL,2026-01-12,11,-2.5,0.0,7.0,1
ATL,2026-01-12,12,-3.0,0.0,7.9,1
ATL,2026-01-12,13,-3.0,0.0,9.1,3
ATL,2026-01-12,14,-1.6,0.0,5.2,3
ATL,2026-01-12,15,0.7,0.0,2.1,2
ATL,2026-01-12,16,3.3,0.0,0.6,0
ATL,2026-01-12,17,5.4,0.0,2.7,1
ATL,2026-01-12,18,6.8,0.0,2.1,3
ATL,2026-01-12,19,8.2,0.0,2.4,3
ATL,2026-01-12,20,8.8,0.0,2.7,3
ATL,2026-01-12,21,9.0,0.0,3.5,3
ATL,2026-01-12,22,8.4,0.0,2.2,2
ATL,2026-01-12,23,6.8,0.0,0.7,1
ATL,2026-01-13,0,5.9,0.0,2.5,3
ATL,2026-01-13,1,5.4,0.0,6.5,3
ATL,2026-01-13,2,4.6,0.0,7.9,3
ATL,2026-01-13,3,4.0,0.0,7.2,3
ATL,2026-01-13,4,3.2,0.0,5.9,3
ATL,2026-01-13,5,2.3,0.0,4.6,0
ATL,2026-01-13,6,0.7,0.0,5.8,0
ATL,2026-01-13,7,0.3,0.0,6.8,0
ATL,2026-01-13,8,0.0,0.0,7.3,0
ATL,2026-01-13,9,-0.2,0.0,7.2,0
ATL,2026-01-13,10,-0.5,0.0,5.6,0
ATL,2026-01-13,11,-0.6,0.0,7.7,0
ATL,2026-01-13,12,-0.9,0.0,8.4,0
ATL,2026-01-13,13,-0.7,0.0,8.7,0
ATL,2026-01-13,14,1.5,0.0,8.3,0
ATL,2026-01-13,15,4.4,0.0,6.0,0
ATL,2026-01-13,16,7.1,0.0,6.3,0
ATL,2026-01-13,17,9.2,0.0,6.6,0
ATL,2026-01-13,18,12.0,0.0,5.6,0
ATL,2026-01-13,19,13.4,0.0,5.8,0
ATL,2026-01-13,20,14.2,0.0,6.7,0
ATL,2026-01-13,21,14.2,0.0,7.5,0
ATL,2026-01-13,22,12.6,0.0,6.3,0
ATL,2026-01-13,23,9.9,0.0,9.0,0
ATL,2026-01-14,0,9.1,0.0,11.0,0
ATL,2026-01-14,1,8.4,0.0,11.6,0
ATL,2026-01-14,2,7.6,0.0,12.1,1
ATL,2026-01-14,3,6.9,0.0,11.7,3
ATL,2026-01-14,4,6.1,0.0,13.1,3
ATL,2026-01-14,5,5.6,0.0,12.5,3
ATL,2026-01-14,6,5.6,0.0,11.9,3
ATL,2026-01-14,7,5.4,0.0,11.6,3
ATL,2026-01-14,8,5.1,0.0,12.8,3
ATL,2026-01-14,9,5.9,0.0,12.3,3
ATL,2026-01-14,10,6.2,0.0,15.0,3
ATL,2026-01-14,11,6.2,0.4,13.2,51
ATL,2026-01-14,12,6.7,0.2,12.6,51
ATL,2026-01-14,13,6.8,0.0,12.6,3
ATL,2026-01-14,14,6.6,0.1,14.7,51
ATL,2026-01-14,15,6.8,1.0,14.7,55
ATL,2026-01-14,16,6.3,0.9,15.2,53
ATL,2026-01-14,17,7.2,0.4,18.1,51
ATL,2026-01-14,18,8.2,0.0,19.3,3
ATL,2026-01-14,19,9.9,0.1,22.4,51
ATL,2026-01-14,20,11.2,0.0,21.5,3
ATL,2026-01-14,21,11.6,0.0,22.5,3
ATL,2026-01-14,22,10.3,0.0,16.6,3
ATL,2026-01-14,23,8.6,0.4,16.5,51
ATL,2026-01-15,0,8.0,0.1,16.0,51
ATL,2026-01-15,1,7.4,0.0,15.5,3
ATL,2026-01-15,2,7.2,0.2,18.3,51
ATL,2026-01-15,3,6.4,0.1,21.3,51
ATL,2026-01-15,4,5.5,0.0,18.5,2
ATL,2026-01-15,5,2.9,0.0,23.3,0
ATL,2026-01-15,6,1.6,0.0,21.1,0
ATL,2026-01-15,7,0.1,0.0,18.9,0
ATL,2026-01-15,8,-0.7,0.0,17.6,0
ATL,2026-01-15,9,-0.9,0.0,17.4,1
ATL,2026-01-15,10,-1.6,0.0,19.2,0
ATL,2026-01-15,11,-3.2,0.0,18.3,0
ATL,2026-01-15,12,-3.5,0.0,20.3,0
ATL,2026-01-15,13,-4.3,0.0,21.4,0
ATL,2026-01-15,14,-3.9,0.0,21.0,0
ATL,2026-01-15,15,-2.8,0.0,19.4,0
ATL,2026-01-15,16,-1.6,0.0,18.8,0
ATL,2026-01-15,17,-0.5,0.0,18.8,0
ATL,2026-01-15,18,0.4,0.0,18.3,0
ATL,2026-01-15,19,1.1,0.0,21.0,2
ATL,2026-01-15,20,1.8,0.0,20.5,0
ATL,2026-01-15,21,2.0,0.0,23.5,1
ATL,2026-01-15,22,1.1,0.0,21.4,1
ATL,2026-01-15,23,-0.2,0.0,15.6,0
ATL,2026-01-16,0,-1.1,0.0,9.6,0
ATL,2026-01-16,1,-1.7,0.0,7.8,0
ATL,2026-01-16,2,-2.3,0.0,6.6,0
ATL,2026-01-16,3,-2.8,0.0,7.0,0
ATL,2026-01-16,4,-3.2,0.0,5.9,0
ATL,2026-01-16,5,-3.4,0.0,4.6,0
ATL,2026-01-16,6,-5.0,0.0,3.3,0
ATL,2026-01-16,7,-5.4,0.0,1.4,0
ATL,2026-01-16,8,-5.3,0.0,3.8,0
ATL,2026-01-16,9,-5.3,0.0,3.5,0
ATL,2026-01-16,10,-5.4,0.0,4.8,0
ATL,2026-01-16,11,-5.2,0.0,5.0,0
ATL,2026-01-16,12,-5.2,0.0,5.9,0
ATL,2026-01-16,13,-5.3,0.0,5.8,0
ATL,2026-01-16,14,-2.8,0.0,6.5,0
ATL,2026-01-16,15,0.6,0.0,7.7,0
ATL,2026-01-16,16,3.6,0.0,9.8,0
ATL,2026-01-16,17,6.1,0.0,11.1,0
ATL,2026-01-16,18,8.3,0.0,13.5,0
ATL,2026-01-16,19,9.4,0.0,16.2,0
ATL,2026-01-16,20,9.8,0.0,16.0,0
ATL,2026-01-16,21,9.6,0.0,16.0,0
ATL,2026-01-16,22,8.4,0.0,15.0,0
ATL,2026-01-16,23,6.4,0.0,15.3,0
ATL,2026-01-17,0,6.3,0.0,14.8,0
ATL,2026-01-17,1,6.0,0.0,14.8,0
ATL,2026-01-17,2,6.0,0.0,14.8,0
ATL,2026-01-17,3,6.2,0.0,17.0,0
ATL,2026-01-17,4,6.4,0.0,17.5,0
ATL,2026-01-17,5,6.6,0.0,18.4,0
ATL,2026-01-17,6,7.0,0.0,19.3,0
ATL,2026-01-17,7,7.3,0.0,19.4,1
ATL,2026-01-17,8,7.7,0.0,19.9,1
ATL,2026-01-17,9,7.6,0.1,16.1,51
ATL,2026-01-17,10,7.7,0.5,17.8,53
ATL,2026-01-17,11,7.5,0.3,17.1,51
ATL,2026-01-17,12,7.2,0.1,12.8,51
ATL,2026-01-17,13,7.0,0.0,11.5,3
ATL,2026-01-17,14,7.4,0.0,10.3,3
ATL,2026-01-17,15,7.8,0.1,8.5,51
ATL,2026-01-17,16,8.1,0.1,7.0,51
ATL,2026-01-17,17,8.8,0.0,7.4,3
ATL,2026-01-17,18,11.0,0.0,8.7,2
ATL,2026-01-17,19,11.6,0.0,9.1,3
ATL,2026-01-17,20,10.9,0.0,7.5,3
ATL,2026-01-17,21,10.9,0.0,7.7,3
ATL,2026-01-17,22,10.0,0.0,6.5,3
ATL,2026-01-17,23,9.3,0.0,8.9,3
ATL,2026-01-18,0,8.4,0.0,12.5,3
ATL,2026-01-18,1,7.7,0.1,12.8,51
ATL,2026-01-18,2,7.3,0.0,10.5,3
ATL,2026-01-18,3,7.0,0.0,10.7,3
ATL,2026-01-18,4,6.5,0.0,11.2,3
ATL,2026-01-18,5,6.2,0.0,12.5,3
ATL,2026-01-18,6,5.5,0.0,11.5,3
ATL,2026-01-18,7,4.8,0.0,13.0,3
ATL,2026-01-18,8,3.9,0.0,16.9,3
ATL,2026-01-18,9,2.4,0.0,17.4,3
ATL,2026-01-18,10,1.5,0.0,15.9,3
ATL,2026-01-18,11,0.9,0.1,13.6,71
ATL,2026-01-18,12,0.2,0.2,11.1,71
ATL,2026-01-18,13,-0.2,0.2,10.5,71
ATL,2026-01-18,14,-0.2,0.0,14.3,3
ATL,2026-01-18,15,-0.1,0.0,15.5,3
ATL,2026-01-18,16,0.9,0.0,17.1,1
ATL,2026-01-18,17,2.3,0.0,19.9,0
ATL,2026-01-18,18,3.5,0.0,19.5,0
ATL,2026-01-18,19,4.1,0.0,19.6,0
ATL,2026-01-18,20,4.4,0.0,18.4,0
ATL,2026-01-18,21,4.1,0.0,18.1,0
ATL,2026-01-18,22,3.4,0.0,16.1,0
ATL,2026-01-18,23,2.1,0.0,12.6,0
ATL,2026-01-19,0,1.0,0.0,10.0,0
ATL,2026-01-19,1,0.4,0.0,10.4,0
ATL,2026-01-19,2,-0.2,0.0,9.9,0
ATL,2026-01-19,3,-0.8,0.0,8.0,0
ATL,2026-01-19,4,-1.3,0.0,7.7,0
ATL,2026-01-19,5,-1.4,0.0,10.4,0
ATL,2026-01-19,6,-2.2,0.0,11.5,0
ATL,2026-01-19,7,-2.3,0.0,11.6,0
ATL,2026-01-19,8,-2.5,0.0,11.7,0
ATL,2026-01-19,9,-2.6,0.0,12.3,0
ATL,2026-01-19,10,-2.7,0.0,12.9,0
ATL,2026-01-19,11,-2.9,0.0,12.5,0
ATL,2026-01-19,12,-2.6,0.0,12.8,0
ATL,2026-01-19,13,-2.8,0.0,12.5,0
ATL,2026-01-19,14,-1.4,0.0,12.2,0
ATL,2026-01-19,15,0.4,0.0,14.2,0
ATL,2026-01-19,16,2.1,0.0,14.1,0
ATL,2026-01-19,17,3.5,0.0,17.1,0
ATL,2026-01-19,18,5.0,0.0,14.9,0
ATL,2026-01-19,19,5.8,0.0,15.3,0
ATL,2026-01-19,20,6.2,0.0,14.5,0
ATL,2026-01-19,21,6.1,0.0,15.2,2
ATL,2026-01-19,22,5.5,0.0,14.0,1
ATL,2026-01-19,23,3.9,0.0,13.0,0
ATL,2026-01-20,0,3.4,0.0,12.1,0
ATL,2026-01-20,1,3.2,0.0,13.4,1
ATL,2026-01-20,2,2.7,0.0,12.7,0
ATL,2026-01-20,3,2.0,0.0,12.4,0
ATL,2026-01-20,4,1.6,0.0,12.7,0
ATL,2026-01-20,5,1.2,0.0,11.5,0
ATL,2026-01-20,6,0.0,0.0,11.0,0
ATL,2026-01-20,7,-0.4,0.0,10.3,0
ATL,2026-01-20,8,-0.9,0.0,9.8,0
ATL,2026-01-20,9,-1.2,0.0,9.7,0
ATL,2026-01-20,10,-1.6,0.0,10.1,0
ATL,2026-01-20,11,-1.9,0.0,10.2,0
ATL,2026-01-20,12,-2.5,0.0,10.6,1
ATL,2026-01-20,13,-2.8,0.0,11.1,1
ATL,2026-01-20,14,-1.7,0.0,11.0,0
ATL,2026-01-20,15,0.1,0.0,11.4,0
ATL,2026-01-20,16,1.7,0.0,11.9,0
ATL,2026-01-20,17,3.2,0.0,12.6,1
ATL,2026-01-20,18,5.0,0.0,12.1,1
ATL,2026-01-20,19,5.8,0.0,11.5,1
ATL,2026-01-20,20,6.1,0.0,11.3,2
ATL,2026-01-20,21,5.8,0.0,11.0,2
ATL,2026-01-20,22,4.9,0.0,9.8,0
ATL,2026-01-20,23,2.9,0.0,7.0,0
ATL,2026-01-21,0,2.1,0.0,7.5,1
ATL,2026-01-21,1,1.6,0.0,7.1,1
ATL,2026-01-21,2,0.7,0.0,5.9,1
ATL,2026-01-21,3,-0.4,0.0,4.4,0
ATL,2026-01-21,4,-1.0,0.0,2.8,1
ATL,2026-01-21,5,-1.6,0.0,1.7,0
ATL,2026-01-21,6,-2.6,0.0,1.9,1
ATL,2026-01-21,7,-3.0,0.0,2.9,1
ATL,2026-01-21,8,-2.4,0.0,6.3,0
ATL,2026-01-21,9,-2.1,0.0,7.1,2
ATL,2026-01-21,10,-2.1,0.0,6.7,3
ATL,2026-01-21,11,-2.0,0.0,8.0,3
ATL,2026-01-21,12,-2.3,0.0,8.6,3
ATL,2026-01-21,13,-2.6,0.0,7.7,2
ATL,2026-01-21,14,-0.8,0.0,8.6,3
ATL,2026-01-21,15,2.3,0.0,7.2,3
ATL,2026-01-21,16,5.5,0.0,8.6,2
ATL,2026-01-21,17,7.9,0.0,9.7,3
ATL,2026-01-21,18,9.9,0.0,10.4,3
ATL,2026-01-21,19,10.5,0.0,11.4,3
ATL,2026-01-21,20,10.9,0.0,11.8,3
ATL,2026-01-21,21,11.1,0.0,11.1,3
ATL,2026-01-21,22,9.7,0.0,9.7,3
ATL,2026-01-21,23,7.1,0.0,10.8,3
ATL,2026-01-22,0,7.5,0.0,9.4,3
ATL,2026-01-22,1,6.8,0.0,8.8,3
ATL,2026-01-22,2,6.7,0.0,9.6,3
ATL,2026-01-22,3,7.3,0.0,9.5,3
ATL,2026-01-22,4,7.5,0.0,9.6,3
ATL,2026-01-22,5,7.7,0.0,10.7,3
ATL,2026-01-22,6,7.0,0.0,10.8,3
ATL,2026-01-22,7,7.1,0.2,12.4,51
ATL,2026-01-22,8,6.3,1.8,8.4,61
