iata_code,airport_name,city,country,latitude,longitude,timezone
ESC,Delta County Airport,Escanaba,United States,45.7226982117,-87.0936965942,-5
YAK,Yakutat Airport,Yakutat,United States,59.5032997131,-139.660003662,-9
IMT,Ford Airport,Iron Mountain,United States,45.8184013367,-88.1145019531,-6
LAF,Purdue University Airport,Lafayette,United States,40.41230010986328,-86.93689727783203,-5
MTJ,Montrose Regional Airport,Montrose CO,United States,38.5097999573,-107.893997192,-7
RIW,Riverton Regional Airport,Riverton WY,United States,43.064201355,-108.459999084,-7
EAT,Pangborn Memorial Airport,Wenatchee,United States,47.3988990784,-120.207000732,-8
BRD,Brainerd Lakes Regional Airport,Brainerd,United States,46.39830017,-94.13809967,-6
LWB,Greenbrier Valley Airport,Lewisburg,United States,37.8582992554,-80.3994979858,-5
PGV,Pitt Greenville Airport,Greenville,United States,35.6352005,-77.38529968,-5
STS,Charles M. Schulz Sonoma County Airport,Santa Rosa,United States,38.50899887,-122.8130035,-8
ASE,Aspen-Pitkin Co/Sardy Field,Aspen,United States,39.22320175,-106.8690033,-7
HYS,Hays Regional Airport,Hays,United States,38.84220123,-99.27320099,-6
GUC,Gunnison Crested Butte Regional Airport,Gunnison,United States,38.53390121,-106.9329987,-7
PGD,Charlotte County Airport,Punta Gorda,United States,26.92020035,-81.9905014,-5
SHD,Shenandoah Valley Regional Airport,Weyers Cave,United States,38.2638015747,-78.8964004517,-5
DVL,Devils Lake Regional Airport,Devils Lake,United States,48.11420059,-98.90879822,-6
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,United States,46.7974014282,-102.802001953,-7
PVU,Provo Municipal Airport,Provo,United States,40.219200134277,-111.72299957275,-7
ECP,Northwest Florida Beaches International Airport,Panama City,United States,30.357106,-85.795414,-6
HHH,Hilton Head Airport,Hilton Head Island,United States,32.2243995667,-80.6975021362,-5
GUF,Jack Edwards Airport,Gulf Shores,United States,30.29050064,-87.67179871,-6
SWO,Stillwater Regional Airport,Stillwater,United States,36.161201477051,-97.08570098877,-6
BIH,Eastern Sierra Regional Airport,Bishop,United States,37.3731002808,-118.363998413,\N
XWA,Williston Basin International Airport,Williston,United States,48.2597836,-103.7505567,America/Chicago
EAR,Kearney Regional Airport,Kearney,United States,40.7270406,-99.00677,America/Chicago
